"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","comter","Common Tern","Sterna hirundo",0.02,0.01,0,0.02,"postbreeding_migration","09-20",0.1251,"14 of 22","Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Alabama","comyel","Common Yellowthroat","Geothlypis trichas",1.02,1.62,1.88,2.75,"prebreeding_migration","03-22",6.888,"24 of 49","Open Country:  Habitat Mosaic","Wetlands:  Freshwater Marsh"
"Alabama","coohaw","Cooper's Hawk","Accipiter cooperii",0.38,0.57,0.87,0.33,"postbreeding_migration","11-22",1.621,"39 of 49","Forests:  Temperate Generalist",NA
"Alabama","daejun","Dark-eyed Junco","Junco hyemalis",0,0.15,0.45,0.11,"nonbreeding","12-27",0.5124,NA,"Forests:  Temperate Generalist",NA
"Alabama","dickci","Dickcissel","Spiza americana",0.11,0.01,0,0.14,"prebreeding_migration","05-17",0.223,"23 of 28","Grasslands:  Temperate",NA
"Alabama","doccor","Double-crested Cormorant","Nannopterum auritum",0.46,0.97,3.76,1.95,"nonbreeding","01-04",4.96,"25 of 48","Wetlands:  Generalist","Coasts:  Beach and Estuary"
"Alabama","dowwoo","Downy Woodpecker","Dryobates pubescens",2.48,2.48,2.48,2.48,"resident","year round resident",NA,"19 of 50","Forests:  Temperate Generalist",NA
"Alabama","dunlin","Dunlin","Calidris alpina",0,0.02,0.21,0.04,"nonbreeding","02-15",0.4851,NA,"Wetlands:  Tundra","Coasts:  Tundra"
"Alabama","easblu","Eastern Bluebird","Sialia sialis",5.68,5.29,5.71,6.04,"prebreeding_migration","03-01",6.404,"4 of 41","Forests:  Temperate Eastern","Forests:  Mesoamerican Pine-Oak"
"Alabama","easkin","Eastern Kingbird","Tyrannus tyrannus",1.6,0.99,0,2.06,"prebreeding_migration","05-03",3.238,"17 of 45","Open Country:  Habitat Mosaic","Grasslands:  Temperate"
"Alabama","easmea","Eastern Meadowlark","Sturnella magna",1.35,1.21,1.99,1.59,"nonbreeding","12-13",2.408,"18 of 31","Grasslands:  Temperate","Grasslands:  Tropical"
"Alabama","easowl1","Eastern Screech-Owl","Megascops asio",3.1,3.1,3.1,3.1,"resident","year round resident",NA,"10 of 39","Forests:  Temperate Eastern",NA
"Alabama","easpho","Eastern Phoebe","Sayornis phoebe",3.33,7.27,8.1,4.73,"prebreeding_migration","02-22",9.56,"8 of 38","Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Alabama","eastow","Eastern Towhee","Pipilo erythrophthalmus",6.43,8.86,11.22,6.68,"nonbreeding","01-11",12.14,"4 of 36","Forests:  Temperate Eastern",NA
